time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-13T18:59:47.941Z,36.4377,-117.2162,10.2,0.5,ml,9,255.44,0.346,0.1099,nn,nn00656375,2018-09-13T20:03:35.390Z,"66km SW of Beatty, Nevada",earthquake,,9.6,0.33,8,reviewed,nn,nn
2018-09-13T18:58:41.275Z,68.8466,-148.0483,0,1.8,ml,,,,0.89,ak,ak20252857,2018-09-13T19:03:29.130Z,"130km NW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T18:54:13.820Z,35.7438333,-121.1115,8.38,1.4,md,30,109,0.09272,0.06,nc,nc73083990,2018-09-14T01:44:02.977Z,"13km NNE of San Simeon, CA",earthquake,0.3,0.61,0.155,14,reviewed,nc,nc
2018-09-13T18:42:25.328Z,38.5812,-118.4334,7.9,0.6,ml,6,114.43,0.084,0.0637,nn,nn00656391,2018-09-13T21:17:21.735Z,"17km ENE of Hawthorne, Nevada",earthquake,,5.4,0.1,2,reviewed,nn,nn
2018-09-13T18:38:30.718Z,69.5939,-144.6318,0,1.6,ml,,,,0.6,ak,ak20252854,2018-09-13T18:42:01.999Z,"71km SSW of Kaktovik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-13T18:32:38.810Z,34.0331667,-116.7795,12.93,1.35,ml,51,50,0.02357,0.16,ci,ci38059015,2018-09-13T18:53:05.770Z,"13km N of Cabazon, CA",earthquake,0.17,0.4,0.14,35,reviewed,ci,ci
2018-09-13T18:30:45.707Z,60.3042,-150.6641,34.9,2.5,ml,,,,0.66,ak,ak20252842,2018-09-13T18:38:20.687Z,"26km SSE of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T18:12:52.210Z,47.8603333,-121.6218333,7.58,1.07,ml,7,121,0.1719,0.09,uw,uw61428016,2018-09-13T23:25:49.870Z,"5km E of Gold Bar, Washington",earthquake,0.58,0.87,0.141,5,reviewed,uw,uw
2018-09-13T18:12:18.450Z,44.741,-111.139,13.14,1.2,ml,10,63,0.04192,0.12,uu,uu60296512,2018-09-13T18:23:56.770Z,"9km NNW of West Yellowstone, Montana",earthquake,0.72,1.11,0.404,2,reviewed,uu,uu
2018-09-13T18:10:37.145Z,68.8539,-148.0526,0,1.9,ml,,,,0.9,ak,ak20252838,2018-09-13T18:17:42.617Z,"131km NW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T18:02:45.837Z,61.1506,-147.266,9.9,1.1,ml,,,,0.31,ak,ak20252835,2018-09-13T18:05:08.025Z,"49km W of Valdez, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T17:34:14.530Z,-34.8686,-179.3724,30.15,5.3,mww,,116,3.278,1.01,us,us2000he2j,2018-09-13T18:55:00.040Z,"South of the Kermadec Islands",earthquake,9.7,4.1,0.073,18,reviewed,us,us
2018-09-13T17:32:13.970Z,19.3285007,-155.1315002,6.49,2.24,ml,45,119,0.04248,0.17,hv,hv70592402,2018-09-13T17:38:06.640Z,"15km SE of Volcano, Hawaii",earthquake,0.41,0.5,2.11,18,automatic,hv,hv
